step,mloss,gloss,loss
30100.0,0.9701,0.2016,1.1717
30200.0,0.9688,0.2049,1.1737
30300.0,0.9661,0.2034,1.1695
30400.0,0.9673,0.1986,1.1659000000000002
30500.0,0.9629,0.2055,1.1683999999999999
30600.0,0.9761,0.2053,1.1814
30700.0,0.9524,0.1977,1.1501000000000001
30800.0,0.9689,0.2038,1.1727
30900.0,0.9687,0.209,1.1777
31000.0,0.973,0.205,1.178
31100.0,0.9706,0.2004,1.171
31200.0,0.9633,0.2052,1.1685
31300.0,0.9341,0.201,1.1351
31400.0,0.977,0.1947,1.1717
31500.0,0.9642,0.1982,1.1623999999999999
31600.0,0.9743,0.1976,1.1719
31700.0,0.9529,0.2023,1.1552
31800.0,0.9527,0.1976,1.1503
31900.0,0.9635,0.1977,1.1612
32000.0,0.9553,0.1935,1.1488
32100.0,0.9663,0.2008,1.1671
32200.0,0.9845,0.1993,1.1838
32300.0,0.9498,0.1999,1.1497
32400.0,0.9597,0.1991,1.1588
32500.0,0.9735,0.194,1.1675
32600.0,0.9554,0.2059,1.1613
32700.0,0.955,0.1983,1.1533
32800.0,0.9769,0.1998,1.1767
32900.0,0.9651,0.1904,1.1555
33000.0,0.9675,0.2031,1.1706
33100.0,0.9642,0.2033,1.1675
33200.0,0.9577,0.1963,1.154
33300.0,0.9614,0.1963,1.1577
33400.0,0.9726,0.1995,1.1721
33500.0,0.9582,0.2023,1.1605
33600.0,0.9545,0.1886,1.1431
33700.0,0.9715,0.1941,1.1656
33800.0,0.9597,0.2015,1.1612
33900.0,0.9551,0.189,1.1441
34000.0,0.9585,0.2004,1.1589
34100.0,0.9445,0.195,1.1395
34200.0,0.979,0.2014,1.1804
34300.0,0.9696,0.1901,1.1597
34400.0,0.9469,0.1918,1.1387
34500.0,0.9646,0.1944,1.159
34600.0,0.9634,0.1931,1.1565
34700.0,0.9578,0.1947,1.1525
34800.0,0.9644,0.2024,1.1668
34900.0,0.9606,0.1976,1.1582
35000.0,0.96,0.1887,1.1487
35100.0,0.9621,0.1939,1.156
35200.0,0.9659,0.1903,1.1562
35300.0,0.958,0.1938,1.1518
35400.0,0.9602,0.1938,1.1540000000000001
35500.0,0.9586,0.1909,1.1495
35600.0,0.9533,0.1919,1.1452
35700.0,0.949,0.2007,1.1497
35800.0,0.9499,0.1961,1.146
35900.0,0.9682,0.1891,1.1573
36000.0,0.9344,0.1896,1.124
36100.0,0.9388,0.1918,1.1306
36200.0,0.9589,0.1912,1.1501
36300.0,0.958,0.1916,1.1496
36400.0,0.9735,0.1912,1.1647
36500.0,0.956,0.1894,1.1454
36600.0,0.9546,0.1961,1.1507
36700.0,0.9668,0.1894,1.1562000000000001
36800.0,0.9471,0.1861,1.1332
36900.0,0.9554,0.1891,1.1445
37000.0,0.9568,0.1957,1.1525
37100.0,0.9426,0.1874,1.13
37200.0,0.9657,0.1895,1.1552
37300.0,0.9496,0.1898,1.1394
37400.0,0.9709,0.1979,1.1688
37500.0,0.9605,0.1951,1.1556
37600.0,0.9571,0.1867,1.1438
37700.0,0.97,0.1858,1.1558
37800.0,0.948,0.1871,1.1351
37900.0,0.9508,0.1878,1.1386
38000.0,0.9502,0.1892,1.1394
38100.0,0.9645,0.1924,1.1569
38200.0,0.9584,0.1859,1.1443
38300.0,0.9564,0.1939,1.1503
38400.0,0.9476,0.1903,1.1379
38500.0,0.9511,0.1793,1.1303999999999998
38600.0,0.9596,0.1816,1.1412
38700.0,0.938,0.1757,1.1137
38800.0,0.9644,0.1874,1.1518000000000002
38900.0,0.9513,0.1841,1.1354
